Dataset,Escenario,ScenarioID,EvalID,WeightPath,ValOutputDir,mAP50-95,mAP50,Precision,Recall
NTUT,N10_H_pH_JS_40_yolo11n_e100,N10,N10_NTUT,runs/train/N10_H_pH_JS_40_yolo11n_e100/weights/best.pt,exports/val_trace/N10_NTUT,0.0438,0.1824,0.3553,0.2893
NTUT,N1_YOLO11n,N1,N1_NTUT,runs/train/N1_YOLO11n/weights/best.pt,exports/val_trace/N1_NTUT,0.0477,0.196,0.3271,0.292
DOMINIO_DRON,N9_H_pH_JR_40_yolo11n_e100,N9,N9_DOMINIO_DRON,runs/train/N9_H_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N9_DOMINIO_DRON,0.9183,0.995,0.9949,1.0
DOMINIO_DRON,N8_H_pH_JR_15_yolo11n_e100,N8,N8_DOMINIO_DRON,runs/train/N8_H_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N8_DOMINIO_DRON,0.9542,0.995,0.995,1.0
DOMINIO_DRON,N7_H_pH_JS_0_yolo11n_e100,N7,N7_DOMINIO_DRON,runs/train/N7_H_pH_JS_0_yolo11n_e100/weights/best.pt,exports/val_trace/N7_DOMINIO_DRON,0.9167,0.995,0.9949,1.0
DOMINIO_DRON,N6_H_pH_JR_0_yolo11n_e100,N6,N6_DOMINIO_DRON,runs/train/N6_H_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N6_DOMINIO_DRON,0.9148,0.995,0.9952,1.0
DOMINIO_DRON,N5_H_JR_0_yolo11n_e100,N5,N5_DOMINIO_DRON,runs/train/N5_H_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N5_DOMINIO_DRON,0.9821,0.995,0.995,1.0
DOMINIO_DRON,N4_H_pH_0_yolo11n_e100,N4,N4_DOMINIO_DRON,runs/train/N4_H_pH_0_yolo11n_e100/weights/best.pt,exports/val_trace/N4_DOMINIO_DRON,0.9525,0.995,0.9949,1.0
DOMINIO_DRON,N3_H_Raw_0_yolo11n_e100,N3,N3_DOMINIO_DRON,runs/train/N3_H_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N3_DOMINIO_DRON,0.9297,0.995,0.995,1.0
DOMINIO_DRON,N2_B_Raw_0_yolo11n_e100,N2,N2_DOMINIO_DRON,runs/train/N2_B_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N2_DOMINIO_DRON,0.8561,0.995,0.9947,1.0
DOMINIO_DRON,N14_P_pH_JR_40_yolo11n_e100,N14,N14_DOMINIO_DRON,runs/train/N14_P_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N14_DOMINIO_DRON,0.9158,0.995,0.995,1.0
DOMINIO_DRON,N13_P_pH_JR_15_yolo11n_e100,N13,N13_DOMINIO_DRON,runs/train/N13_P_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N13_DOMINIO_DRON,0.9362,0.995,1.0,1.0
DOMINIO_DRON,N12_P_pH_JR_0_yolo11n_e100,N12,N12_DOMINIO_DRON,runs/train/N12_P_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N12_DOMINIO_DRON,0.9234,0.995,0.9951,1.0
DOMINIO_DRON,N11_P_Raw_0_yolo11n_e100,N11,N11_DOMINIO_DRON,runs/train/N11_P_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N11_DOMINIO_DRON,0.9324,0.995,0.995,1.0
DOMINIO_DRON,N10_H_pH_JS_40_yolo11n_e100,N10,N10_DOMINIO_DRON,runs/train/N10_H_pH_JS_40_yolo11n_e100/weights/best.pt,exports/val_trace/N10_DOMINIO_DRON,0.9652,0.995,0.9949,1.0
DOMINIO_DRON,N1_YOLO11n,N1,N1_DOMINIO_DRON,runs/train/N1_YOLO11n/weights/best.pt,exports/val_trace/N1_DOMINIO_DRON,0.9824,0.995,0.9939,1.0
